Run_ID,Length_mm,Passive_Thick_mm,Active_Thick_mm,Active_Fraction,Temp_Change_C,Deflection_mm
0,83.0924810810585,0.712841650633412,0.287158349366588,0.287158349366588,93.7602459193335,-10.065276
1,105.59239494833,0.713071346970928,0.286928653029073,0.286928653029073,61.0926482215801,-10.604994
2,87.250727995628,0.799396949177263,0.200603050822737,0.200603050822737,32.1163712419177,-3.8039126
3,101.441185432005,0.645675463425948,0.354324536574052,0.354324536574052,59.0017386576335,-9.47494
4,89.2763899683792,0.597424385593302,0.402575614406698,0.402575614406698,100.178535399222,-12.416788
5,98.0939933012416,0.520338248019358,0.479661751980642,0.479661751980642,60.0799415425139,-9.035836
6,82.7363339515165,0.254448497851028,0.745551502148972,0.745551502148972,94.6221376018983,-10.083335
7,99.2287570810334,0.398248016504572,0.601751983495428,0.601751983495428,38.4568868025753,-5.9315763
8,88.0032255941846,0.312867760994648,0.687132239005352,0.687132239005352,70.2237900306614,-8.494937
9,102.394908488102,0.798588377333224,0.201411622666776,0.201411622666776,127.572089248513,-20.57815
10,80.2545683249142,0.615170181955995,0.384829818044005,0.384829818044005,60.6705438458071,-6.1098633
11,88.2987692077972,0.293978998591711,0.706021001408289,0.706021001408289,145.546938498516,-17.483784
12,112.609199035354,0.181184361389435,0.818815638610565,0.818815638610565,76.3745210615377,-15.009915
13,88.2831540925418,0.281147539335189,0.718852460664811,0.718852460664811,136.793737105225,-16.457506
14,117.816986719633,0.17196944574644,0.82803055425356,0.82803055425356,92.2686131290829,-19.746552
15,98.2119848152254,0.369340188135882,0.630659811864118,0.630659811864118,108.02496599254,-16.152493
16,112.300385474394,0.592299147189266,0.407700852810734,0.407700852810734,42.0267440769866,-8.287099
17,98.1530544831767,0.860580495677324,0.139419504322676,0.139419504322676,62.4561027396496,-9.273827
18,96.2450602983112,0.285024095050273,0.714975904949727,0.714975904949727,83.9820825491197,-12.110027
19,93.9221527040947,0.285600854783016,0.714399145216984,0.714399145216984,103.411056754654,-14.158652
20,91.2119467109812,0.194426009652256,0.805573990347744,0.805573990347744,140.600501179181,-18.063751
21,86.0267984259853,0.484966848712011,0.515033151287989,0.515033151287989,88.2421239285545,-10.187599
22,110.798631463077,0.569910187003907,0.430089812996093,0.430089812996093,42.2856699765925,-8.118524
23,87.4782515232529,0.89997137083711,0.10002862916289,0.10002862916289,93.9589470612625,-10.966145
24,103.905356918568,0.1337948141795,0.8662051858205,0.8662051858205,56.6121226996659,-9.482487
25,81.3546663924894,0.198345429657728,0.801654570342272,0.801654570342272,129.068022789177,-13.212963
26,90.3622289888152,0.138902758519392,0.861097241480608,0.861097241480608,87.8892572514767,-11.108451
27,95.2198285859021,0.719103711634128,0.280896288365872,0.280896288365872,45.7763596682427,-6.4763684
28,105.951050235714,0.11792475017845,0.88207524982155,0.88207524982155,141.58910385277,-24.309511
29,93.4050115969328,0.879325276556435,0.120674723443565,0.120674723443565,121.160933136909,-16.099464
30,82.100219580437,0.882799888919393,0.117200111080607,0.117200111080607,132.192005033273,-13.576786
31,108.238893269366,0.216126437909807,0.783873562090193,0.783873562090193,47.8531617599675,-8.745478
32,106.910120967253,0.579184075349714,0.420815924650286,0.420815924650286,33.8172384227825,-6.0494866
33,93.3041048172008,0.611280985244395,0.388719014755605,0.388719014755605,22.7324765800114,-3.0993168
34,99.5001829223592,0.851704300064747,0.148295699935253,0.148295699935253,121.390493314342,-18.436552
35,119.716214652709,0.700597385770805,0.299402614229195,0.299402614229195,52.6761807365523,-11.757956
36,89.339495495494,0.526121366648325,0.473878633351675,0.473878633351675,31.4116554221369,-3.9291108
37,103.511189615989,0.474076867345668,0.525923132654332,0.525923132654332,51.8296974312023,-8.686697
38,105.196026769163,0.104448558864247,0.895551441135753,0.895551441135753,69.9712743589218,-11.947987
39,91.5107057740072,0.607496298433345,0.392503701566655,0.392503701566655,83.6459578408434,-10.914809
40,119.616000815343,0.68049744181075,0.31950255818925,0.31950255818925,54.3995265452268,-12.125817
41,81.3800698430512,0.148136555210379,0.851863444789621,0.851863444789621,98.2536015807,-10.084436
42,81.36053280019,0.182534719804255,0.817465280195745,0.817465280195745,70.1005477932676,-7.2291093
43,85.8787665109876,0.809352461076777,0.190647538923223,0.190647538923223,139.74801954646,-15.806369
44,111.253106431355,0.468104286173321,0.531895713826679,0.531895713826679,28.2042092407566,-5.470231
45,103.85659039577,0.698712447627029,0.301287552372971,0.301287552372971,54.9147407408035,-9.234076
46,83.7360402421737,0.47462394030356,0.52537605969644,0.52537605969644,114.356501401485,-12.466454
47,100.895739360767,0.520911567476522,0.479088432523478,0.479088432523478,113.532804799656,-17.876837
48,110.022854308515,0.517877611640373,0.482122388359627,0.482122388359627,95.3009181337582,-17.883688
49,107.013534961689,0.702146047638714,0.297853952361286,0.297853952361286,83.9287160467611,-14.908832
